Account,Trader_Label,Extreme Greed,Fear,Greed,Neutral,Dominant_Sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,Trader 1,0,3356,462,0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Trader 2,0,3533,320,0,Fear
0x271b280974205ca63b716753467d5a371de622ab,Trader 3,0,1136,5,5,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Trader 4,0,6794,6472,0,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,Trader 5,0,2471,763,0,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Trader 6,27,349,161,80,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,Trader 7,0,3445,144,0,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Trader 8,0,141,191,0,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Trader 9,0,258,125,0,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,Trader 10,88,671,43,249,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Trader 11,0,4629,3711,0,Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Trader 12,0,3806,328,0,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Trader 13,730,3737,1703,1309,Fear
0x513b8629fe877bb581bf244e326a047b249c4ff1,Trader 14,0,5777,223,0,Fear
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Trader 15,0,572,250,0,Fear
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Trader 16,0,932,202,0,Fear
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Trader 17,0,939,419,0,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Trader 18,3041,4885,1016,6,Fear
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Trader 19,0,1554,0,0,Fear
0x8170715b3b381dffb7062c0298972d4727a0a63b,Trader 20,0,3056,15,0,Fear
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Trader 21,0,1802,54,0,Fear
0x8477e447846c758f5a675856001ea72298fd9cb5,Trader 22,0,5602,1804,3810,Fear
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Trader 23,0,2080,724,0,Fear
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Trader 24,0,9274,4211,0,Fear
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Trader 25,0,95,283,39,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Trader 26,0,182,190,0,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Trader 27,0,525,9,0,Fear
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Trader 28,3076,7380,2311,1643,Fear
0xb899e522b5715391ae1d4f137653e7906c5e2115,Trader 29,0,4838,0,0,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Trader 30,0,21190,0,0,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Trader 31,0,2211,267,0,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Trader 32,0,26651,9883,0,Fear
